Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr22,Attr23,Attr25,Attr26,Attr29,Attr30,Attr31,Attr33,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr42,Attr43,Attr44,Attr46,Attr48,Attr49,Attr50,Attr51,Attr55,Attr56,Attr57,Attr58,Attr59,Attr62,Attr63,class
0.20912,0.49988,0.47225,1.9447,0.0,0.25834,0.99601,1.6996,0.49788,0.26114,0.5168,0.15835,0.25834,677.96,0.53838,2.0005,0.25834,0.152,87.981,0.24806,0.12304,0.39542,0.43992,3.6884,0.26969,0.152,2.9876,2.9876,0.20616,1.6996,0.49788,0.1213,0.086422,0.14595,199.49,111.51,1.1252,0.23727,0.13961,1.9447,0.49988,2304.6,0.1213,0.42002,0.853,0.0,107.35,3.4,0
0.24866,0.69592,0.26713,1.5548,0.0,0.30906,0.43695,1.309,0.30408,0.31258,0.64184,0.24435,0.30906,794.16,0.45961,1.4369,0.30906,0.2361,73.133,0.3026,0.18996,0.28932,0.37282,4.3749,0.41929,0.23815,2.063,1.4274,0.31565,1.309,0.51537,0.24114,0.32202,0.23117,165.51,92.381,1.0101,0.29181,0.22293,1.0758,0.48152,6332.7,0.24114,0.81774,0.76599,0.69484,134.27,2.7185,0
0.081483,0.30734,0.45879,2.4928,0.14988,0.092704,1.8661,1.0571,0.57353,0.092704,0.30163,0.094257,0.092704,917.01,0.39803,3.2537,0.092704,0.071428,79.788,0.1155,0.062782,0.57353,0.36152,4.6511,0.14343,0.071428,3.9948,0.37581,0.1155,1.3562,0.57353,0.088995,0.40139,0.088995,180.77,100.98,1.5696,0.085874,0.066165,2.4928,0.30734,20545.0,0.054015,0.14207,0.94598,0.0,86.435,4.2228,0
0.18732,0.61323,0.2296,1.4063,0.18732,0.18732,0.6307,1.1559,0.38677,0.18732,0.33147,0.12182,0.18732,1133.2,0.32211,1.6307,0.18732,0.11553,57.045,0.19832,0.11553,0.38677,0.32211,4.1424,0.27884,0.11553,2.4823,0.3234,0.19832,1.6278,0.43489,0.12231,0.29304,0.12231,141.62,84.574,0.95787,0.18811,0.11601,1.2959,0.56511,3186.6,0.13485,0.48431,0.86515,0.12444,127.21,2.8692,0
0.22822,0.49794,0.35969,1.7502,0.0,0.28139,1.0083,1.9786,0.50206,0.28645,0.58691,0.14812,0.28139,620.14,0.58858,2.0083,0.28139,0.14222,107.26,0.28104,0.11535,0.4997,0.48181,4.3258,0.23382,0.14449,3.5519,3.42,0.27566,1.9786,0.51361,0.13932,0.078634,0.14204,147.84,40.578,0.53744,0.26935,0.13613,1.6852,0.47944,7616.8,0.13932,0.45457,0.85891,0.023002,88.444,4.1269,0
0.11109,0.64744,0.28971,1.4705,0.0,0.11109,0.54454,1.7348,0.35256,0.12575,0.18041,0.30963,0.11109,439.94,0.82965,1.5445,0.11109,0.064036,57.733,0.0,0.064036,0.31469,0.82965,3.677,0.36088,0.14223,1.1103,1.056,0.024982,1.7348,0.35256,0.0144,0.056647,0.0,183.17,125.44,1.0249,-0.42606,-0.2456,1.3985,0.61576,1377.1,0.6059,0.3151,0.40871,0.0,129.55,2.8173,0
0.00902,0.63202,0.053735,1.1263,0.0,0.014434,0.58223,1.3332,0.36798,0.043162,0.033921,0.038938,0.014434,4443.7,0.082138,1.5822,0.014434,0.010827,36.623,0.030778,0.006766,0.34828,0.073572,5.9479,0.47405,0.010827,2.6284,1.7697,0.24013,1.3332,0.49344,0.18011,0.072677,0.023085,122.74,86.122,0.81192,-0.006701,-0.005026,0.75832,0.42554,1.1263,0.18011,0.024512,0.84165,0.34094,116.5,3.133,0
0.12408,0.83837,0.14204,1.1694,0.0,0.15328,0.19279,2.1156,0.16163,0.18454,0.18284,0.075411,0.15328,1918.1,0.1903,1.1928,0.15328,0.072451,109.97,0.15819,0.058651,0.15445,0.15547,3.843,0.38803,0.077401,2.3226,2.3224,0.16854,2.1156,0.16163,0.079665,0.020833,0.074772,166.13,56.159,0.40912,0.15192,0.071812,1.1694,0.83831,989.41,0.079665,0.76768,0.92847,0.0,144.63,2.5236,0
0.24001,0.44355,0.18835,1.44,-0.9319,0.24001,1.2545,4.7447,0.55645,0.24227,0.56072,0.1951,0.24001,174.89,2.087,2.2545,0.24001,0.050585,22.027,0.0,0.050585,-0.63075,2.087,3.2184,0.091302,0.1082,7.1653,6.9146,0.01533,4.7447,0.55645,0.003231,0.12237,0.0,43.388,21.361,0.7711,-0.6857,-0.14452,1.3897,0.42804,311.43,0.35359,0.43132,0.64794,0.0,32.928,11.085,0
-0.027117,0.11148,0.11989,2.0754,-0.084883,-0.0243,7.6741,0.90732,0.85551,-0.0243,-0.21798,0.10164,-0.0243,754.95,0.48347,8.9702,-0.0243,-0.045825,99.502,-0.024649,-0.051136,0.85551,0.45821,4.0568,0.1582,-0.045825,5.2427,-0.22111,-0.024649,0.58684,0.85551,-0.046482,0.42528,-0.046482,126.62,27.115,0.77866,-0.10285,-0.19395,2.0754,0.11148,1366.5,-0.10214,-0.031697,1.1021,0.0,76.732,4.7568,0
