Attr1,Attr2,Attr3,Attr4,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr22,Attr23,Attr25,Attr26,Attr29,Attr30,Attr31,Attr33,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr42,Attr43,Attr44,Attr46,Attr48,Attr49,Attr50,Attr51,Attr55,Attr56,Attr57,Attr58,Attr59,Attr62,Attr63,class
0.15929,0.4624,0.07773,1.1683,0.46702,0.18948,0.82895,1.1223,0.3833,0.18948,0.41025,0.15548,0.18948,771.49,0.47311,2.1626,0.18948,0.13466,46.838,0.18082,0.11321,0.3833,0.40783,6.0662,0.30915,0.13466,2.7144,0.39104,0.18082,1.4771,0.38385,0.12851,0.16702,0.12851,119.96,73.126,0.77736,0.15153,0.10769,1.1669,0.46185,90533.0,0.10899,0.41557,0.89101,0.001422,119.81,3.0465,b'0'
-0.12743,0.46243,0.26917,1.7517,0.00092515,-0.12743,1.1625,1.2944,0.53757,-0.12321,-0.35587,-0.069684,-0.12743,-1871.3,-0.19506,2.1625,-0.12743,-0.098443,67.186,-0.080134,-0.098443,0.089142,-0.19506,3.9891,0.34702,-0.095184,3.9381,3.0493,-0.11568,1.2944,0.61842,-0.089372,0.042359,-0.061907,172.59,105.4,1.0863,-0.11736,-0.090667,1.3564,0.35807,2624.9,-0.089372,-0.23704,1.0625,0.15041,100.97,3.615,b'0'
0.070488,0.2357,0.52781,3.2393,0.16367,0.086895,2.8718,1.0574,0.67689,0.086895,0.36866,0.10484,0.086895,725.64,0.503,4.2426,0.086895,0.07684,51.358,0.076618,0.062331,0.67689,0.43339,4.6697,-0.024608,0.07684,4.5374,0.32506,0.076618,1.2007,0.67689,0.067752,1.1451,0.067752,159.32,107.96,2.5642,0.044954,0.039752,3.2393,0.2357,24672.0,0.054286,0.10413,0.94571,0.0,76.076,4.7978,b'0'
0.13676,0.40538,0.31543,1.8705,0.50497,0.13676,1.4539,1.1144,0.58938,0.13676,0.37742,0.1069,0.13676,924.13,0.39496,2.4668,0.13676,0.091304,59.462,0.14482,0.091304,0.58938,0.39496,4.3239,0.21865,0.091304,3.7094,0.35724,0.14482,1.5064,0.63242,0.096688,0.21853,0.096688,145.87,86.408,1.1971,0.12146,0.081094,1.6719,0.36235,6649.9,0.10263,0.23203,0.89737,0.073024,88.299,4.1337,b'0'
-0.11008,0.69793,0.18878,1.2713,0.0,-0.11008,0.43282,1.735,0.30207,-0.1031,-0.1582,0.088289,-0.11008,1663.0,0.21948,1.4328,-0.11008,-0.063446,19.414,0.0,-0.063446,0.23024,0.21948,3.8426,0.37672,-0.13334,1.3966,1.3924,0.05062,1.735,0.30207,0.029176,0.2458,0.0,150.12,130.71,1.1387,-0.26326,-0.15173,1.2675,0.69583,1314.0,0.43988,-0.3644,0.57153,0.0,146.39,2.4934,b'0'
0.021539,0.58425,0.086614,1.1791,-0.0016087,0.029628,0.71161,1.4388,0.41575,0.066078,0.061256,0.039813,0.029628,3722.8,0.098043,1.7116,0.029628,0.020593,41.665,0.049368,0.01497,0.3965,0.084197,5.9071,0.40608,0.020593,2.3785,1.969,0.31594,1.4388,0.46775,0.2196,0.068418,0.034313,136.28,94.617,0.83952,0.021715,0.015093,0.97612,0.48368,1.1791,0.2196,0.051807,0.80128,0.12508,122.7,2.9746,b'0'
0.22743,0.52266,0.44456,1.87,0.0,0.283,0.91328,1.9811,0.47734,0.32197,0.55386,0.15055,0.283,639.64,0.57064,1.9133,0.283,0.14285,87.626,0.32074,0.1148,0.47258,0.46431,4.0217,0.21647,0.15153,3.2525,3.1797,0.31916,1.9811,0.48904,0.1611,0.20054,0.1619,157.17,69.543,0.93925,0.30549,0.15421,1.8282,0.51096,4673.6,0.1611,0.47646,0.85765,0.024511,94.141,3.8772,b'0'
0.038662,0.59498,0.070504,1.1191,-0.52978,0.038662,0.68074,3.0861,0.40502,0.039993,0.065321,0.064279,0.038662,1094.7,0.33341,1.6807,0.038662,0.012528,32.928,0.0,0.012528,-0.44723,0.33341,3.3624,0.19007,0.025989,3.8032,3.7834,0.0079495,3.0861,0.40502,0.0025759,0.032373,0.0,76.075,43.148,0.64874,-0.15971,-0.051752,1.1133,0.59188,162.39,0.27059,0.095456,0.72991,0.0,70.003,5.2141,b'0'
0.13103,0.47202,0.4935,2.1374,0.37472,0.16378,1.1185,1.0729,0.52798,0.16378,0.37748,0.078413,0.16378,964.05,0.37861,2.1185,0.16378,0.071863,48.59,0.16583,0.05749,0.52798,0.30922,3.969,0.16012,0.071863,4.8958,0.35131,0.16583,2.2901,0.5661,0.072758,0.25446,0.072758,130.84,82.25,1.4381,0.1509,0.066208,1.9647,0.4339,4595.0,0.067952,0.24817,0.93205,0.072213,69.488,5.2527,b'0'
0.17698,0.19359,0.13925,3.7779,0.33845,0.21281,4.1656,1.2128,0.80641,0.21281,4.2451,0.61671,0.21281,320.19,1.1399,5.1656,0.21281,0.5947,39.523,0.064641,0.49457,0.80641,0.95486,5.1394,0.52494,0.5947,5.8857,0.33391,0.064641,0.51029,0.94987,0.18065,0.14479,0.18065,185.77,146.25,3.005,0.056767,0.15864,0.97828,0.050129,19195.0,0.17547,0.21946,0.82453,0.1779,51.133,7.1382,b'0'
